timestamp,open,low,high,close,volume
2022-07-19 12:24:00,1290,1290,1290,1290,0
2022-07-19 12:25:00,1290,1290,1290,1290,0
2022-07-19 12:26:00,1290,1290,1290,1290,0
2022-07-19 12:27:00,1290,1290,1290,1290,0
2022-07-19 12:28:00,1290,1290,1290,1290,0
2022-07-19 12:29:00,1290,1290,1290,1290,0
2022-07-19 12:30:00,1290,1290,1290,1290,0
2022-07-19 12:31:00,1290,1290,1290,1290,0
2022-07-19 12:32:00,1290,1290,1290,1290,0
2022-07-19 12:33:00,1290,1290,1290,1290,0
2022-07-19 12:34:00,1290,1290,1290,1290,0
2022-07-19 12:35:00,1290,1290,1290,1290,0
2022-07-19 12:36:00,1290,1290,1290,1290,0
2022-07-19 12:37:00,1290,1290,1290,1290,0
2022-07-19 12:38:00,1290,1290,1290,1290,0
2022-07-19 12:39:00,1290,1290,1290,1290,0
2022-07-19 12:40:00,1290,1290,1290,1290,0
2022-07-19 12:41:00,1290,1290,1290,1290,0
2022-07-19 12:42:00,1290,1290,1290,1290,0
2022-07-19 12:43:00,1290,1290,1290,1290,0
2022-07-19 12:44:00,1290,1290,1290,1290,0
2022-07-19 12:45:00,1290,1290,1290,1290,0
2022-07-19 12:46:00,1290,1290,1290,1290,0
2022-07-19 12:47:00,1290,1290,1290,1290,0
2022-07-19 12:48:00,1290,1290,1290,1290,0
2022-07-19 12:49:00,1290,1290,1290,1290,0
2022-07-19 12:50:00,1290,1290,1290,1290,0
2022-07-19 12:51:00,1290,1290,1290,1290,0
2022-07-19 12:52:00,1290,1290,1290,1290,0
2022-07-19 12:53:00,1290,1290,1290,1290,0
2022-07-19 12:54:00,1290,1290,1290,1290,0
2022-07-19 12:55:00,1290,1290,1290,1290,0
2022-07-19 12:56:00,1290,1290,1290,1290,0
2022-07-19 12:57:00,1290,1290,1290,1290,0
2022-07-19 12:58:00,1290,1290,1290,1290,0
2022-07-19 12:59:00,1290,1290,1290,1290,0
2022-07-19 13:00:00,1290,1290,1290,1290,0
2022-07-19 13:01:00,1290,1290,1290,1290,0
2022-07-19 13:02:00,1290,1290,1290,1290,0
2022-07-19 13:03:00,1290,1290,1290,1290,0
2022-07-19 13:04:00,1290,1290,1290,1290,0
2022-07-19 13:05:00,1290,1290,1290,1290,0
2022-07-19 13:06:00,1290,1290,1290,1290,0
2022-07-19 13:07:00,1290,1290,1290,1290,0
2022-07-19 13:08:00,1290,1290,1290,1290,0
2022-07-19 13:09:00,1290,1290,1290,1290,0
2022-07-19 13:10:00,1290,1290,1290,1290,0
2022-07-19 13:11:00,1290,1290,1290,1290,0
2022-07-19 13:12:00,1290,1290,1290,1290,0
2022-07-19 13:13:00,1290,1290,1290,1290,0
2022-07-19 13:14:00,1290,1290,1290,1290,0
2022-07-19 13:15:00,1290,1290,1290,1290,0
2022-07-19 13:16:00,1290,1290,1290,1290,0
2022-07-19 13:17:00,1290,1290,1290,1290,0
2022-07-19 13:18:00,1290,1290,1290,1290,0
2022-07-19 13:19:00,1290,1290,1290,1290,0
2022-07-19 13:20:00,1290,1290,1290,1290,0
2022-07-19 13:21:00,1290,1290,1290,1290,0
2022-07-19 13:22:00,1290,1290,1290,1290,0
2022-07-19 13:23:00,1290,1290,1290,1290,0
2022-07-19 13:24:00,1290,1290,1290,1290,0
2022-07-19 13:25:00,1290,1290,1290,1290,0
2022-07-19 13:26:00,1290,1290,1290,1290,0
2022-07-19 13:27:00,1290,1290,1290,1290,0
2022-07-19 13:28:00,1290,1290,1290,1290,0
2022-07-19 13:29:00,1290,1290,1290,1290,0
2022-07-19 13:30:00,1290,1290,1290,1290,0
2022-07-19 13:31:00,1290,1290,1290,1290,0
2022-07-19 13:32:00,1290,1290,1290,1290,0
2022-07-19 13:33:00,1290,1290,1290,1290,0
2022-07-19 13:34:00,1290,1290,1290,1290,0
2022-07-19 13:35:00,1290,1290,1290,1290,0
2022-07-19 13:36:00,1290,1290,1290,1290,0
2022-07-19 13:37:00,1290,1290,1290,1290,0
2022-07-19 13:38:00,1290,1290,1290,1290,0
2022-07-19 13:39:00,1290,1290,1290,1290,0
2022-07-19 13:40:00,1290,1290,1290,1290,0
2022-07-19 13:41:00,1290,1290,1290,1290,0
2022-07-19 13:42:00,1290,1290,1290,1290,0
2022-07-19 13:43:00,1290,1290,1290,1290,0
2022-07-19 13:44:00,1290,1290,1290,1290,0
2022-07-19 13:45:00,1290,1290,1290,1290,0
2022-07-19 13:46:00,1290,1290,1290,1290,0
2022-07-19 13:47:00,1290,1290,1290,1290,0
2022-07-19 13:48:00,1290,1290,1290,1290,0
2022-07-19 13:49:00,1290,1290,1290,1290,0
2022-07-19 13:50:00,1290,1290,1290,1290,0
2022-07-19 13:51:00,1290,1290,1290,1290,0
2022-07-19 13:52:00,1290,1290,1290,1290,0
2022-07-19 13:53:00,1290,1290,1290,1290,0
2022-07-19 13:54:00,1290,1290,1290,1290,0
2022-07-19 13:55:00,1290,1290,1290,1290,0
2022-07-19 13:56:00,1290,1290,1290,1290,0
2022-07-19 13:57:00,1290,1290,1290,1290,0
2022-07-19 13:58:00,1290,1290,1290,1290,0
2022-07-19 13:59:00,1290,1290,1290,1290,0
2022-07-19 14:00:00,1290,1290,1290,1290,0
2022-07-19 14:01:00,1290,1290,1290,1290,0
2022-07-19 14:02:00,1290,1290,1290,1290,0
2022-07-19 14:03:00,1290,1290,1290,1290,0
2022-07-19 14:04:00,1290,1290,1290,1290,0
2022-07-19 14:05:00,1290,1290,1290,1290,0
2022-07-19 14:06:00,1290,1290,1290,1290,0
2022-07-19 14:07:00,1290,1290,1290,1290,0
2022-07-19 14:08:00,1290,1290,1290,1290,0
2022-07-19 14:09:00,1290,1290,1290,1290,0
2022-07-19 14:10:00,1290,1290,1290,1290,0
2022-07-19 14:11:00,1290,1290,1290,1290,0
2022-07-19 14:12:00,1290,1290,1290,1290,0
2022-07-19 14:13:00,1290,1290,1290,1290,0
2022-07-19 14:14:00,1290,1290,1290,1290,0
2022-07-19 14:15:00,1290,1290,1290,1290,0
2022-07-19 14:16:00,1290,1290,1290,1290,0
2022-07-19 14:17:00,1290,1290,1290,1290,0
2022-07-19 14:18:00,1290,1290,1290,1290,0
2022-07-19 14:19:00,1290,1290,1290,1290,0
2022-07-19 14:20:00,1290,1290,1290,1290,0
2022-07-19 14:21:00,1290,1290,1290,1290,0
2022-07-19 14:22:00,1290,1290,1290,1290,0
2022-07-19 14:23:00,1290,1290,1290,1290,0
2022-07-19 14:24:00,1290,1290,1290,1290,0
2022-07-19 14:25:00,1290,1290,1290,1290,0
2022-07-19 14:26:00,1290,1290,1290,1290,0
2022-07-19 14:27:00,1290,1290,1290,1290,0
2022-07-19 14:28:00,1290,1290,1290,1290,0
2022-07-19 14:29:00,1290,1290,1290,1290,0
2022-07-19 14:30:00,1290,1290,1290,1290,100
2022-07-19 14:31:00,1290,1290,1290,1290,0
2022-07-19 14:32:00,1290,1290,1290,1290,0
2022-07-19 14:33:00,1290,1290,1290,1290,0
2022-07-19 14:34:00,1290,1290,1290,1290,0
2022-07-19 14:35:00,1290,1290,1290,1290,0
2022-07-19 14:36:00,1290,1290,1290,1290,0
2022-07-19 14:37:00,1290,1290,1290,1290,0
2022-07-19 14:38:00,1290,1290,1290,1290,0
2022-07-19 14:39:00,1290,1290,1290,1290,0
2022-07-19 14:40:00,1290,1290,1290,1290,0
2022-07-19 14:41:00,1290,1290,1290,1290,0
2022-07-19 14:42:00,1290,1290,1290,1290,0
2022-07-19 14:43:00,1290,1290,1290,1290,0
2022-07-19 14:44:00,1290,1290,1290,1290,0
2022-07-19 14:45:00,1290,1290,1290,1290,0
2022-07-19 14:46:00,1290,1290,1290,1290,0
2022-07-19 14:47:00,1290,1290,1290,1290,0
2022-07-19 14:48:00,1290,1290,1290,1290,0
2022-07-19 14:49:00,1290,1290,1290,1290,0
2022-07-19 14:50:00,1290,1290,1290,1290,0
2022-07-19 14:51:00,1290,1290,1290,1290,0
2022-07-19 14:52:00,1290,1290,1290,1290,0
2022-07-19 14:53:00,1290,1290,1290,1290,0
2022-07-19 14:54:00,1290,1290,1290,1290,0
2022-07-19 14:55:00,1290,1290,1290,1290,0
2022-07-19 14:56:00,1290,1290,1290,1290,0
2022-07-19 14:57:00,1290,1290,1290,1290,0
2022-07-19 14:58:00,1290,1290,1290,1290,0
2022-07-19 14:59:00,1290,1290,1290,1290,0
2022-07-19 15:00:00,1290,1290,1290,1290,0
2022-07-19 15:01:00,1290,1290,1290,1290,0
2022-07-19 15:02:00,1290,1290,1290,1290,0
2022-07-19 15:03:00,1290,1290,1290,1290,0
2022-07-19 15:04:00,1290,1290,1290,1290,0
2022-07-19 15:05:00,1290,1290,1290,1290,0
2022-07-19 15:06:00,1290,1290,1290,1290,0
2022-07-19 15:07:00,1290,1290,1290,1290,0
2022-07-19 15:08:00,1290,1290,1290,1290,0
2022-07-19 15:09:00,1290,1290,1290,1290,0
2022-07-19 15:10:00,1290,1290,1290,1290,0
2022-07-19 15:11:00,1290,1290,1290,1290,0
2022-07-19 15:12:00,1290,1290,1290,1290,0
2022-07-19 15:13:00,1290,1290,1290,1290,0
2022-07-19 15:14:00,1290,1290,1290,1290,0
2022-07-19 15:15:00,1290,1290,1290,1290,0
2022-07-19 15:16:00,1290,1290,1290,1290,0
2022-07-19 15:17:00,1290,1290,1290,1290,0
2022-07-19 15:18:00,1290,1290,1290,1290,0
2022-07-19 15:19:00,1290,1290,1290,1290,0
2022-07-19 15:20:00,1290,1290,1290,1290,0
2022-07-19 15:21:00,1290,1290,1290,1290,0
2022-07-19 15:22:00,1290,1290,1290,1290,0
2022-07-19 15:23:00,1290,1290,1290,1290,0
2022-07-19 15:24:00,1290,1290,1290,1290,0
2022-07-19 15:25:00,1290,1290,1290,1290,0
2022-07-19 15:26:00,1290,1290,1290,1290,0
2022-07-19 15:27:00,1290,1290,1290,1290,0
2022-07-19 15:28:00,1290,1290,1290,1290,0
2022-07-19 15:29:00,1290,1290,1290,1290,0
2022-07-19 15:30:00,1290,1290,1290,1290,0
2022-07-19 15:31:00,1290,1290,1290,1290,0
2022-07-19 15:32:00,1290,1290,1290,1290,0
2022-07-19 15:33:00,1290,1290,1290,1290,0
2022-07-19 15:34:00,1290,1290,1290,1290,0
2022-07-19 15:35:00,1290,1290,1290,1290,0
2022-07-19 15:36:00,1290,1290,1290,1290,0
2022-07-19 15:37:00,1290,1290,1290,1290,0
2022-07-19 15:38:00,1290,1290,1290,1290,0
2022-07-19 15:39:00,1290,1290,1290,1290,0
2022-07-19 15:40:00,1290,1290,1290,1290,0
2022-07-19 15:41:00,1290,1290,1290,1290,0
2022-07-19 15:42:00,1290,1290,1290,1290,0
2022-07-19 15:43:00,1290,1290,1290,1290,0
2022-07-19 15:44:00,1290,1290,1290,1290,0
2022-07-19 15:45:00,1290,1290,1290,1290,0
2022-07-19 15:46:00,1290,1290,1290,1290,0
2022-07-19 15:47:00,1290,1290,1290,1290,0
2022-07-19 15:48:00,1290,1290,1290,1290,0
2022-07-19 15:49:00,1290,1290,1290,1290,0
2022-07-19 15:50:00,1290,1290,1290,1290,0
2022-07-19 15:51:00,1290,1290,1290,1290,0
2022-07-19 15:52:00,1290,1290,1290,1290,0
2022-07-19 15:53:00,1290,1290,1290,1290,0
2022-07-19 15:54:00,1290,1290,1290,1290,0
2022-07-19 15:55:00,1290,1290,1290,1290,0
2022-07-19 15:56:00,1290,1290,1290,1290,0
2022-07-19 15:57:00,1290,1290,1290,1290,0
2022-07-19 15:58:00,1290,1290,1290,1290,0
2022-07-19 15:59:00,1290,1290,1290,1290,0
2022-07-20 09:00:00,1290,1290,1290,1290,0
2022-07-20 09:01:00,1290,1290,1290,1290,0
2022-07-20 09:02:00,1290,1290,1290,1290,0
2022-07-20 09:03:00,1290,1290,1290,1290,0
2022-07-20 09:04:00,1290,1290,1290,1290,0
2022-07-20 09:05:00,1290,1290,1290,1290,0
2022-07-20 09:06:00,1290,1290,1290,1290,0
2022-07-20 09:07:00,1305,1305,1305,1305,200
2022-07-20 09:08:00,1305,1305,1305,1305,0
2022-07-20 09:09:00,1305,1305,1305,1305,0
2022-07-20 09:10:00,1305,1305,1305,1305,0
2022-07-20 09:11:00,1305,1305,1305,1305,0
2022-07-20 09:12:00,1350,1350,1350,1350,200
2022-07-20 09:13:00,1350,1350,1350,1350,0
2022-07-20 09:14:00,1350,1350,1350,1350,0
2022-07-20 09:15:00,1350,1350,1350,1350,0
2022-07-20 09:16:00,1350,1350,1350,1350,0
2022-07-20 09:17:00,1350,1350,1350,1350,0
2022-07-20 09:18:00,1350,1350,1350,1350,0
2022-07-20 09:19:00,1350,1350,1350,1350,0
2022-07-20 09:20:00,1350,1350,1350,1350,0
2022-07-20 09:21:00,1350,1350,1350,1350,0
2022-07-20 09:22:00,1350,1350,1350,1350,0
2022-07-20 09:23:00,1350,1350,1350,1350,0
2022-07-20 09:24:00,1350,1350,1350,1350,0
2022-07-20 09:25:00,1350,1350,1350,1350,0
2022-07-20 09:26:00,1350,1350,1350,1350,0
2022-07-20 09:27:00,1340,1340,1340,1340,300
2022-07-20 09:28:00,1345,1345,1345,1345,100
2022-07-20 09:29:00,1345,1345,1345,1345,0
2022-07-20 09:30:00,1345,1345,1345,1345,1100
2022-07-20 09:31:00,1350,1350,1350,1350,0
2022-07-20 09:32:00,1350,1350,1350,1350,0
2022-07-20 09:33:00,1365,1365,1470,1470,2700
2022-07-20 09:34:00,1490,1470,1490,1470,400
2022-07-20 09:35:00,1470,1470,1470,1470,1000
2022-07-20 09:36:00,1470,1470,1470,1470,0
2022-07-20 09:37:00,1470,1470,1470,1470,0
2022-07-20 09:38:00,1470,1470,1470,1470,6900
2022-07-20 09:39:00,1470,1470,1470,1470,13600
2022-07-20 09:40:00,1470,1470,1470,1470,5500
2022-07-20 09:41:00,1470,1470,1490,1490,10800
2022-07-20 09:42:00,1470,1470,1470,1470,600
2022-07-20 09:43:00,1470,1470,1470,1470,0
2022-07-20 09:44:00,1460,1460,1460,1460,100
2022-07-20 09:45:00,1460,1460,1460,1460,0
2022-07-20 09:46:00,1460,1460,1460,1460,0
2022-07-20 09:47:00,1460,1460,1460,1460,0
2022-07-20 09:48:00,1460,1460,1460,1460,0
2022-07-20 09:49:00,1455,1455,1455,1455,100
2022-07-20 09:50:00,1455,1455,1455,1455,0
2022-07-20 09:51:00,1455,1455,1455,1455,0
2022-07-20 09:52:00,1455,1455,1455,1455,0
2022-07-20 09:53:00,1455,1455,1455,1455,0
2022-07-20 09:54:00,1455,1455,1455,1455,0
2022-07-20 09:55:00,1450,1450,1450,1450,1100
2022-07-20 09:56:00,1450,1450,1450,1450,0
2022-07-20 09:57:00,1450,1450,1450,1450,0
2022-07-20 09:58:00,1450,1450,1450,1450,0
2022-07-20 09:59:00,1450,1450,1450,1450,0
2022-07-20 10:00:00,1450,1450,1450,1450,0
2022-07-20 10:01:00,1450,1450,1450,1450,0
2022-07-20 10:02:00,1405,1405,1405,1405,200
2022-07-20 10:03:00,1405,1405,1405,1405,0
2022-07-20 10:04:00,1400,1400,1405,1405,300
2022-07-20 10:05:00,1400,1400,1400,1400,200
2022-07-20 10:06:00,1400,1400,1400,1400,0
2022-07-20 10:07:00,1400,1400,1400,1400,0
2022-07-20 10:08:00,1400,1400,1400,1400,0
2022-07-20 10:09:00,1400,1400,1400,1400,0
2022-07-20 10:10:00,1410,1410,1410,1410,1900
2022-07-20 10:11:00,1400,1400,1400,1400,100
2022-07-20 10:12:00,1400,1400,1400,1400,400
2022-07-20 10:13:00,1400,1400,1400,1400,0
2022-07-20 10:14:00,1400,1400,1400,1400,0
2022-07-20 10:15:00,1400,1400,1400,1400,0
2022-07-20 10:16:00,1400,1400,1400,1400,0
2022-07-20 10:17:00,1400,1400,1400,1400,0
2022-07-20 10:18:00,1400,1400,1400,1400,0
2022-07-20 10:19:00,1360,1360,1395,1395,1400
2022-07-20 10:20:00,1360,1360,1395,1395,0
2022-07-20 10:21:00,1360,1360,1395,1395,0
2022-07-20 10:22:00,1360,1360,1395,1395,0
2022-07-20 10:23:00,1360,1360,1395,1395,0
2022-07-20 10:24:00,1360,1360,1395,1395,0
2022-07-20 10:25:00,1360,1360,1395,1395,0
2022-07-20 10:26:00,1360,1360,1395,1395,0
2022-07-20 10:27:00,1360,1360,1395,1395,0
2022-07-20 10:28:00,1360,1360,1395,1395,0
2022-07-20 10:29:00,1360,1360,1395,1395,0
2022-07-20 10:30:00,1360,1360,1395,1395,0
2022-07-20 10:31:00,1360,1360,1395,1395,0
2022-07-20 10:32:00,1360,1360,1395,1395,0
2022-07-20 10:33:00,1360,1360,1395,1395,0
2022-07-20 10:34:00,1360,1360,1395,1395,0
2022-07-20 10:35:00,1360,1360,1395,1395,0
2022-07-20 10:36:00,1360,1360,1395,1395,0
2022-07-20 10:37:00,1360,1360,1395,1395,0
2022-07-20 10:38:00,1360,1360,1395,1395,0
2022-07-20 10:39:00,1360,1360,1395,1395,0
2022-07-20 10:40:00,1360,1360,1395,1395,0
2022-07-20 10:41:00,1360,1360,1395,1395,0
2022-07-20 10:42:00,1360,1360,1395,1395,0
2022-07-20 10:43:00,1360,1360,1395,1395,0
2022-07-20 10:44:00,1360,1360,1395,1395,0
2022-07-20 10:45:00,1360,1360,1395,1395,0
2022-07-20 10:46:00,1360,1360,1395,1395,0
2022-07-20 10:47:00,1360,1360,1395,1395,0
2022-07-20 10:48:00,1360,1360,1395,1395,0
2022-07-20 10:49:00,1360,1360,1395,1395,0
2022-07-20 10:50:00,1360,1360,1395,1395,0
2022-07-20 10:51:00,1360,1360,1395,1395,0
2022-07-20 10:52:00,1360,1360,1395,1395,0
2022-07-20 10:53:00,1360,1360,1395,1395,0
2022-07-20 10:54:00,1360,1360,1395,1395,0
2022-07-20 10:55:00,1360,1360,1395,1395,0
2022-07-20 10:56:00,1360,1360,1395,1395,0
2022-07-20 10:57:00,1360,1360,1395,1395,0
2022-07-20 10:58:00,1360,1360,1395,1395,0
2022-07-20 10:59:00,1390,1390,1390,1390,600
2022-07-20 11:00:00,1390,1390,1390,1390,400
2022-07-20 11:01:00,1390,1390,1390,1390,0
2022-07-20 11:02:00,1365,1365,1365,1365,200
2022-07-20 11:03:00,1365,1365,1365,1365,0
2022-07-20 11:04:00,1365,1365,1365,1365,0
2022-07-20 11:05:00,1365,1365,1365,1365,0
2022-07-20 11:06:00,1365,1365,1365,1365,0
2022-07-20 11:07:00,1360,1360,1360,1360,1500
2022-07-20 11:08:00,1360,1360,1360,1360,700
2022-07-20 11:09:00,1360,1360,1360,1360,0
2022-07-20 11:10:00,1355,1355,1355,1355,900
2022-07-20 11:11:00,1355,1355,1355,1355,0
2022-07-20 11:12:00,1355,1355,1355,1355,0
2022-07-20 11:13:00,1355,1355,1355,1355,0
2022-07-20 11:14:00,1355,1355,1355,1355,0
2022-07-20 11:15:00,1355,1355,1355,1355,0
2022-07-20 11:16:00,1355,1355,1355,1355,0
2022-07-20 11:17:00,1355,1355,1355,1355,0
2022-07-20 11:18:00,1355,1355,1355,1355,0
2022-07-20 11:19:00,1355,1355,1355,1355,0
2022-07-20 11:20:00,1355,1355,1355,1355,0
2022-07-20 11:21:00,1355,1355,1355,1355,0
2022-07-20 11:22:00,1355,1355,1355,1355,0
2022-07-20 11:23:00,1355,1355,1355,1355,0
2022-07-20 11:24:00,1355,1355,1355,1355,0
2022-07-20 11:25:00,1355,1355,1355,1355,100
2022-07-20 11:26:00,1355,1355,1355,1355,0
2022-07-20 11:27:00,1355,1355,1355,1355,0
2022-07-20 11:28:00,1355,1355,1355,1355,0
2022-07-20 11:29:00,1355,1355,1355,1355,0
2022-07-20 11:30:00,1355,1355,1355,1355,0
2022-07-20 11:31:00,1355,1355,1355,1355,0
2022-07-20 11:32:00,1355,1355,1355,1355,0
2022-07-20 11:33:00,1355,1355,1355,1355,0
2022-07-20 11:34:00,1355,1355,1355,1355,0
2022-07-20 11:35:00,1355,1355,1355,1355,0
2022-07-20 11:36:00,1355,1355,1355,1355,0
2022-07-20 11:37:00,1355,1355,1355,1355,0
2022-07-20 11:38:00,1355,1355,1355,1355,0
2022-07-20 11:39:00,1355,1355,1355,1355,0
2022-07-20 11:40:00,1355,1355,1355,1355,0
2022-07-20 11:41:00,1355,1355,1355,1355,0
2022-07-20 11:42:00,1355,1355,1355,1355,0
2022-07-20 11:43:00,1355,1355,1355,1355,0
2022-07-20 11:44:00,1355,1355,1355,1355,0
2022-07-20 11:45:00,1355,1355,1355,1355,0
2022-07-20 11:46:00,1355,1355,1355,1355,0
2022-07-20 11:47:00,1355,1355,1355,1355,0
2022-07-20 11:48:00,1355,1355,1355,1355,0
2022-07-20 11:49:00,1355,1355,1355,1355,0
2022-07-20 11:50:00,1355,1355,1355,1355,0
2022-07-20 11:51:00,1355,1355,1355,1355,0
2022-07-20 11:52:00,1355,1355,1355,1355,0
2022-07-20 11:53:00,1355,1355,1355,1355,0
2022-07-20 11:54:00,1355,1355,1355,1355,0
2022-07-20 11:55:00,1355,1355,1355,1355,0
2022-07-20 11:56:00,1355,1355,1355,1355,0
2022-07-20 11:57:00,1355,1355,1355,1355,0
2022-07-20 11:58:00,1355,1355,1355,1355,0
2022-07-20 11:59:00,1355,1355,1355,1355,0
2022-07-20 12:00:00,1355,1355,1355,1355,0
2022-07-20 12:01:00,1355,1355,1355,1355,0
2022-07-20 12:02:00,1355,1355,1355,1355,0
2022-07-20 12:03:00,1355,1355,1355,1355,0
2022-07-20 12:04:00,1355,1355,1355,1355,0
2022-07-20 12:05:00,1355,1355,1355,1355,0
2022-07-20 12:06:00,1355,1355,1355,1355,0
2022-07-20 12:07:00,1355,1355,1355,1355,0
2022-07-20 12:08:00,1355,1355,1355,1355,0
2022-07-20 12:09:00,1355,1355,1355,1355,0
2022-07-20 12:10:00,1355,1355,1355,1355,0
2022-07-20 12:11:00,1355,1355,1355,1355,0
2022-07-20 12:12:00,1355,1355,1355,1355,0
2022-07-20 12:13:00,1355,1355,1355,1355,0
2022-07-20 12:14:00,1355,1355,1355,1355,0
2022-07-20 12:15:00,1355,1355,1355,1355,0
2022-07-20 12:16:00,1355,1355,1355,1355,0
2022-07-20 12:17:00,1355,1355,1355,1355,0
2022-07-20 12:18:00,1355,1355,1355,1355,0
2022-07-20 12:19:00,1355,1355,1355,1355,0
2022-07-20 12:20:00,1355,1355,1355,1355,0
2022-07-20 12:21:00,1355,1355,1355,1355,0
2022-07-20 12:22:00,1355,1355,1355,1355,0
2022-07-20 12:23:00,1355,1355,1355,1355,0
2022-07-20 12:24:00,1355,1355,1355,1355,0
2022-07-20 12:25:00,1355,1355,1355,1355,0
2022-07-20 12:26:00,1355,1355,1355,1355,0
2022-07-20 12:27:00,1355,1355,1355,1355,0
2022-07-20 12:28:00,1355,1355,1355,1355,0
2022-07-20 12:29:00,1355,1355,1355,1355,0
2022-07-20 12:30:00,1355,1355,1355,1355,0
2022-07-20 12:31:00,1355,1355,1355,1355,0
2022-07-20 12:32:00,1355,1355,1355,1355,0
2022-07-20 12:33:00,1355,1355,1355,1355,0
2022-07-20 12:34:00,1355,1355,1355,1355,0
2022-07-20 12:35:00,1355,1355,1355,1355,0
2022-07-20 12:36:00,1355,1355,1355,1355,0
2022-07-20 12:37:00,1355,1355,1355,1355,0
2022-07-20 12:38:00,1355,1355,1355,1355,0
2022-07-20 12:39:00,1355,1355,1355,1355,0
2022-07-20 12:40:00,1355,1355,1355,1355,0
2022-07-20 12:41:00,1355,1355,1355,1355,0
2022-07-20 12:42:00,1355,1355,1355,1355,0
2022-07-20 12:43:00,1355,1355,1355,1355,0
2022-07-20 12:44:00,1355,1355,1355,1355,0
2022-07-20 12:45:00,1355,1355,1355,1355,0
2022-07-20 12:46:00,1355,1355,1355,1355,0
2022-07-20 12:47:00,1355,1355,1355,1355,0
2022-07-20 12:48:00,1355,1355,1355,1355,0
2022-07-20 12:49:00,1355,1355,1355,1355,0
2022-07-20 12:50:00,1355,1355,1355,1355,0
2022-07-20 12:51:00,1355,1355,1355,1355,0
2022-07-20 12:52:00,1355,1355,1355,1355,0
2022-07-20 12:53:00,1355,1355,1355,1355,0
2022-07-20 12:54:00,1355,1355,1355,1355,0
2022-07-20 12:55:00,1355,1355,1355,1355,0
2022-07-20 12:56:00,1355,1355,1355,1355,0
2022-07-20 12:57:00,1355,1355,1355,1355,0
2022-07-20 12:58:00,1355,1355,1355,1355,0
2022-07-20 12:59:00,1355,1355,1355,1355,0
2022-07-20 13:00:00,1355,1355,1355,1355,0
2022-07-20 13:01:00,1355,1355,1355,1355,0
2022-07-20 13:02:00,1355,1355,1355,1355,0
2022-07-20 13:03:00,1355,1355,1355,1355,0
2022-07-20 13:04:00,1355,1355,1355,1355,0
2022-07-20 13:05:00,1355,1355,1355,1355,0
2022-07-20 13:06:00,1355,1355,1355,1355,0
2022-07-20 13:07:00,1355,1355,1355,1355,0
2022-07-20 13:08:00,1355,1355,1355,1355,0
2022-07-20 13:09:00,1355,1355,1355,1355,0
2022-07-20 13:10:00,1355,1355,1355,1355,0
2022-07-20 13:11:00,1355,1355,1355,1355,0
2022-07-20 13:12:00,1355,1355,1355,1355,0
2022-07-20 13:13:00,1355,1355,1355,1355,0
2022-07-20 13:14:00,1355,1355,1355,1355,0
2022-07-20 13:15:00,1355,1355,1355,1355,0
2022-07-20 13:16:00,1355,1355,1355,1355,0
2022-07-20 13:17:00,1355,1355,1355,1355,0
2022-07-20 13:18:00,1355,1355,1355,1355,0
2022-07-20 13:19:00,1355,1355,1355,1355,0
2022-07-20 13:20:00,1355,1355,1355,1355,0
2022-07-20 13:21:00,1355,1355,1355,1355,0
2022-07-20 13:22:00,1355,1355,1355,1355,0
2022-07-20 13:23:00,1355,1355,1355,1355,0
2022-07-20 13:24:00,1355,1355,1355,1355,0
2022-07-20 13:25:00,1355,1355,1355,1355,0
2022-07-20 13:26:00,1355,1355,1355,1355,0
2022-07-20 13:27:00,1355,1355,1355,1355,0
2022-07-20 13:28:00,1355,1355,1355,1355,0
2022-07-20 13:29:00,1355,1355,1355,1355,0
2022-07-20 13:30:00,1355,1355,1355,1355,300
2022-07-20 13:31:00,1355,1355,1355,1355,0
2022-07-20 13:32:00,1355,1355,1355,1355,0
2022-07-20 13:33:00,1355,1355,1355,1355,0
2022-07-20 13:34:00,1355,1355,1355,1355,0
2022-07-20 13:35:00,1355,1355,1355,1355,0
2022-07-20 13:36:00,1355,1355,1355,1355,0
2022-07-20 13:37:00,1355,1355,1355,1355,0
2022-07-20 13:38:00,1355,1355,1355,1355,0
2022-07-20 13:39:00,1355,1355,1355,1355,0
2022-07-20 13:40:00,1355,1355,1355,1355,0
2022-07-20 13:41:00,1355,1355,1355,1355,0
2022-07-20 13:42:00,1355,1355,1355,1355,0
2022-07-20 13:43:00,1355,1355,1355,1355,0
2022-07-20 13:44:00,1355,1355,1355,1355,0
2022-07-20 13:45:00,1355,1355,1355,1355,0
2022-07-20 13:46:00,1355,1355,1355,1355,0
2022-07-20 13:47:00,1355,1355,1355,1355,0
2022-07-20 13:48:00,1355,1355,1355,1355,0
2022-07-20 13:49:00,1355,1355,1355,1355,0
2022-07-20 13:50:00,1355,1355,1355,1355,0
2022-07-20 13:51:00,1355,1355,1355,1355,0
2022-07-20 13:52:00,1355,1355,1355,1355,0
2022-07-20 13:53:00,1355,1355,1355,1355,0
2022-07-20 13:54:00,1355,1355,1355,1355,0
2022-07-20 13:55:00,1355,1355,1355,1355,0
2022-07-20 13:56:00,1350,1350,1350,1350,1000
2022-07-20 13:57:00,1350,1350,1350,1350,0
2022-07-20 13:58:00,1350,1345,1350,1345,200
2022-07-20 13:59:00,1350,1345,1350,1345,0
2022-07-20 14:00:00,1345,1345,1345,1345,300
